ParamName,Mnemonic
ASSUMED TEMP DERATE,ASMDTMPDRT
ASYMMETRY ENABLE,ASYMTRYENBL
ATTITUDE INVALID,ATTINVAL
AUTO BRAKE APPLIED,ATBRKAPPL
AUTO SLAT CMD - LEFT,ATSLATCMDLFT
AUTO SLAT CMD - RIGHT,ATSLATCMDRGT
AUTO SLAT ENABLE - LEFT,ATSLATENBLFT
AUTO SLAT ENABLE - RIGHT,ATSLATENBRGT
AUTO SLAT VALID - LEFT,ATSLATVALLFT
AUTO SLAT VALID - RIGHT,ATSLATVALRGT
AUTO SPD BRAKE EXTEND CMD,ATSPDBREXCMD
AUTONAV REALIGN,ATNVRALGN
AUTOSLAT CMD,ATSLATCMD
AUX TANK FUEL QTY,AUXTNKFLQTY
AVERAGE AIRSPEED ERROR,AVGAIRSPDERR
AVM ALERT ENGINE 1,AVMALRTENG1
AVM ALERT ENGINE 2,AVMALRTENG2
AVM SYSTEM FAULT,AVMSYSFLT
B MASTER LIGHT,BMSTRLGHT
BACKCOURSE ARM,BCKCRSARM
BACKCOURSE ENGAGE,BCKCRSENG
BARO 1 DATA INVALID,BAR1DATINVAL
BARO 2 DATA INVALID,BAR2DATINVAL
BARO 3 SIGNAL FAIL,BAR3SIGFAL
BARO COR (in HG) #1 /LSD,BRCORHG1LSD
BARO COR (in HG) #1 /LSD+1,BRCORHG1LSD1
BARO COR (in HG) #1 /LSD+2,BRCORHG1LSD2
BARO COR (in HG) #1 /LSD+3,BRCORHG1LSD3
BARO COR (in HG) #1 /MSD,BRCORHG1MSD
BARO COR (in HG) #2 /LSD,BRCORHG2LSD
BARO COR (in HG) #2 /LSD+1,BRCORHG2LSD1
BARO COR (in HG) #2 /LSD+2,BRCORHG2LSD2
BARO COR (in HG) #2 /LSD+3,BRCORHG2LSD3
BARO COR (in HG) #2 /MSD,BRCORHG2MSD
BARO COR ALT NO. 1,BRCORALTNO1
BARO COR ALT NO. 2,BRCORALTNO2
BARO COR ALT NO. 3,BRCORALTNO3
BARO COR ALT NO. 4,BRCORALTNO4
BLEED AIR SWITCH,BLDAIRSWT
BLEED VALVE OPEN,BLDVLVOPEN
BRAKE PRESS ALT-LEFT,BRKPRSALTLFT
BRAKE PRESS ALT-RIGHT,BRKPRSALTRGT
BRAKE PRESS MAIN-LEFT,BRKPRSMANLFT
BRAKE PRESS MAIN-RIGHT,BRKPRSMANRGT
BRAKE TEMP OVERHEAT LT,BRKTMPOVHTLT
BSV DEMANDED CLOSED #1,BSVDMNDCLSD1
BSV DEMANDED CLOSED #2,BSVDMNDCLSD2
BSV POSITION STATUS #1,BSVPOSSTS1
BSV POSITION STATUS #2,BSVPOSSTS2
CABIN ALTITUDE > 10kft,CBNALTG10KFT
CALCULATED MACH NO. #1,CALCMACHNO1
CALCULATED MACH NO. #2,CALCMACHNO2
CAPT DISP GLIDESLOPE DEV / ELEVATION,CPTDSGSPDVEL
CAPT DISP LOCALIZER DEV / AZIMUTH,CPTDSLCDVAZI
CAPT DISPLAY GROUNDSPEED,CPTDSGRNDSPD
CAPT DISPLAY HEADING,CPTDSPHEADG
CAPT DISPLAY MAG/TRUE REF,CPTDSPMGTREF
CAPT DISPLAY PITCH ATT,CAPTDSPTCATT
CAPT DISPLAY ROLL ATT,CAPTDSROLATT
CAUTION OBSTACLE OR AHEAD,CAUTOBSORAHD
CAUTION TERRAIN,CAUTTERRN
CAUTION WINDSHEAR,CAUTWNDSHR
CC FORCE (PITCH CWS FOREIGN),CCFRPTCWSFRN
CC FORCE (PITCH CWS LOCAL),CCFRPTCWSLOC
CDS FAULT MSG DEU-1,CDSFLMSGDEU1
CDS FAULT MSG DEU-2,CDSFLMSGDEU2
CDS MAINT MSG DEU-1,CDSMAMSGDEU1
CDS MAINT MSG DEU-2,CDSMAMSGDEU2
CENTER DISP FORMAT CAPT,CTRDSPFRTCPT
CENTER DISP FORMAT F/O,CTRDSPFRTFO
CENTER MAIN FUEL QTY,CTRMAFULQTY
CHECK LIST,CHECKLIST
CL DISPLAY UNIT DRIVEN,CLDSPUTDRVN
CL DU FORMAT,CLDUFRMT
CLR (CLEAR) SUBMODE,CLRSUBMODE
CMD A,CMDA
CMD B,CMDB
CN1 (FAN) VIB L,CN1FANVIBL
CN1 (FAN) VIB R,CN1FANVIBR
CN1 ACCELEROMETER SOURCE,CN1ACLMTRSRC
CN2 (HPC) VIB L,CN2HPCVIBL
CN2 (HPC) VIB R,CN2HPCVIBR
CN2 ACCELEROMETER SOURCE,CN2ACLMTRSRC
COMBINED CONTROL 63,CMBDCNTRL63
COMBINED CONTROL 225,CMBDCNTRL225
COMBUSTOR SEVERITY #1,COMBSTRSEV1
COMBUSTOR SEVERITY #2,COMBSTRSEV2
COMM,COMM
COMPUTED AIRSPEED,COMPTDAIRSPD
CONT REG #1,CONTREG1
CONT REG #2,CONTREG2
CONTROL COLUMN POSN - CAPT,CNTLCLPOSCAP
CONTROL COLUMN POSN - F/O,CNTLCLPOSFO
CONTROL WHEEL POSN - CAPT,CNTLWHPOSCAP
CONTROL WHEEL POSN - F/O,CNTLWHPOSFO
COWL TAI CONFIG CODE #1,CWLTAICFGCD1
COWL TAI CONFIG CODE #2,CWLTAICFGCD2
CROSS TRACK DEV,CRSTRKDEV
CROSSTRACK RATE<8FT/SEC,CRSTRKRTL8FT
CROSSTRACK RATE<9FT/SEC,CRSTRKRTL9FT
CROSSTRACK RATE-LAT POS<0,CRTKRTLTPSL0
CROSSTRACK RATE-LAT POS>0,CRTKRTLTPSG0
CU DISPLAY UNIT DRIVEN,CUDSPUTDRVN
CU DU FORMAT,CUDUFRMT
CUSTOMER UNIQUE FRAME,CSTRUNQFRM
CUTBACK ARMED,CUTBCKARMD
CUTBACK ENGAGED,CUTBCKENGD
CW FORCE (ROLL CWS),CWFRCRLLCWS
CWS A,CWSA
CWS B,CWSB
CWS PITCH,CWSPITCH
CWS ROLL,CWSROLL
CWS WARN,CWSWARN
DAC FUEL MOD VALVE SEL #1,DACFLMDVLSL1
DAC FUEL MOD VALVE SEL #2,DACFLMDVLSL2
DAC STAGING MODE #1,DACSTGMD1
DAC STAGING MODE #2,DACSTGMD2
DATA BROADCAST MODE - L,DTBRDCSTMDL
DATA BROADCAST MODE - R,DTBRDCSTMDR
DAY,DAY
DAY X 1,DAYX1
DAY X10,DAYX10
DC FAIL,DCFAIL
DC FAIL/ON DC,DCFAILONDC
DESIRED TRACK,DESRDTRCK
DESTINATION CHAR #1,DESTCHAR1
DESTINATION CHAR #2,DESTCHAR2
DESTINATION CHAR #3,DESTCHAR3
DESTINATION CHAR #4,DESTCHAR4
DESTINATION ETA HOURS,DESTETAHRS
DESTINATION ETA MINUTES,DESTETAMINS
DH SELECTED CAPT,DHSELCAPT
DH SELECTED F/O,DHSELFO
DISPL APP DIST CAPT,DSPLAPDSTCAP
DISPL APP DIST F/O,DSPLAPDSTFO
DISPLAYED APP SOURCE - CAPT,DSPLAPSRCCAP
DISPLAYED APP SOURCE - F/O,DSPLAPSRCFO
DISTANCE TO GO,DISTTOGO
DISTANCE TO GO (WPT),DISTTOGOWPT
DME DISPLAY BIT,DMEDISPBIT
DME DISTANCE-LEFT,DMEDISTLEFT
DME DISTANCE-RIGHT,DMEDISTRIGT
DME L ANTENNA FAILURE,DMELANTFAIL
DME LEFT FAILURE,DMELFTFAIL
DME R ANTENNA FAILURE,DMERANTFAIL
DME RIGHT FAILURE,DMERGTFAIL
DON'T SINK,DONTSINK
DOWN ADVISORY,DWNADVSRY
DRIFT ANGLE,DRIFTANG
DSM CAPT INBD ENG,DSMCAPINBENG
DSM CAPT INBD MFD,DSMCAPINBMFD
DSM CAPT INBD PFD,DSMCAPINBPFD
DSM CAPT LOWER ENG,DSMCAPLOWENG
DSM CAPT LOWER ND,DSMCAPLOWND
DSM CAPT LOWER NORM,DSMCAPLOWNRM
DSM CAPT LOWER SPARE,DSMCAPLOWSPR
DSM CAPT NORM,DSMCAPTNRM
DSM CAPT OUTBD PFD,DSMCAPOTBPFD
DSM F/O INBD ENG,DSMFOINBDENG
DSM F/O INBD MFD,DSMFOINBDMFD
DSM F/O INBD PFD,DSMFOINBDPFD
DSM F/O LOWER ENG,DSMFOLWENG
DSM F/O LOWER ND,DSMFOLWND
DSM F/O LOWER NORM,DSMFOLWENRM
DSM F/O LOWER SPARE,DSMFOLWESPR
DSM F/O NORM,DSMFONRM
DSM F/O OUTBD PFD,DSMFOOTBDPFD
ECS,ECS
ECS CONFIG CODE #1,ECSCFGCD1
ECS CONFIG CODE #2,ECSCFGCD2
ECS ISOLATION VALVE,ECSISOVLV
EEC CHANNEL FAULT #1,EECCHNLFLT1
EEC CHANNEL FAULT #2,EECCHNLFLT2
EEC CHANNEL IN CTRL #1,EECCHNLCTRL1
EEC CHANNEL IN CTRL #2,EECCHNLCTRL2
EEC CROSS CHAN FAULT #1,EECRSCHNFLT1
EEC CROSS CHAN FAULT #2,EECRSCHNFLT2
EEC HARD ALTN MODE SEL #1,EEHDALNMDSL1
EEC HARD ALTN MODE SEL #2,EEHDALNMDSL2
EEC MAX CLIMB N1 RATING 1,EEMXCLBN1RT1
EEC MAX CLIMB N1 RATING 2,EEMXCLBN1RT2
EEC MAX T/O N1 RATING #1,EECMXTON1RT1
EEC MAX T/O N1 RATING #2,EECMXTON1RT2
EEC SOFT ALTN MODE SEL #1,EESFALTMDSL1
EEC SOFT ALTN MODE SEL #2,EESFALTMDSL2
EEC TEMP OVER LIMIT #1,EECTMPOVRLT1
EEC TEMP OVER LIMIT #2,EECTMPOVRLT2
EFIS DISPLAY DATA,EFISDISPDAT
EGPWS BIT 22,EGPWSBIT22
EGPWS BIT 23,EGPWSBIT23
EGPWS DISP SEL CAPT,EGPWDSPSLCPT
EGPWS DISP SEL F/O,EGPWDSPSLFO
EGT AMBER LIMIT EXC #1,EGTAMBLTEXC1
EGT AMBER LIMIT EXC #2,EGTAMBLTEXC2
EGT REDLINE EXC #1,EGTRDLNEXC1
EGT REDLINE EXC #2,EGTRDLNEXC2
EGT START REDLINE EXC #1,EGTSTRDLEXC1
EGT START REDLINE EXC #2,EGTSTRDLEXC2
ELEV ACTUATOR POS-L,ELEVACTRPOSL
ELEV ACTUATOR POS-R,ELEVACTRPOSR
ELEV FEEL SYS CMD,ELEVFLSYSCMD
ELEV PITCH CMD-L,ELEVPTCHCMDL
ELEV PITCH CMD-R,ELEVPTCHCMDR
ELEV POS-L,ELEVPOSL
ELEV POS-R,ELEVPOSR
ELEV QUADRANT POS,ELEVQUADPOS
ENG #1 FIRE,ENG1FIRE
ENG #2 FIRE,ENG2FIRE
ENG 1 COWL ANTI-ICE SW,ENG1CWLAICSW
ENG 2 COWL ANTI-ICE SW,ENG2CWLAICSW
ENG A/P TYPE CODE #1,ENGAPTYPCD1
ENG A/P TYPE CODE #2,ENGAPTYPCD2
ENG HOT START DETECTED #1,ENGHOTSTDET1
ENG HOT START DETECTED #2,ENGHOTSTDET2
ENG OIL QTY #1,ENGOILQTY1
ENG OIL QTY #2,ENGOILQTY2
ENG OUT CLIMB GRAD,ENGOTCLMBGRD
ENG POSITION CODE #1,ENGPOSCD1
ENG POSITION CODE #2,ENGPOSCD2
ENGAGE INTERFACE FAULT L,ENGINTRFFLTL
ENGAGE INTERFACE FAULT R,ENGINTRFFLTR
ENGINE 1 BLEED SWITCH,ENG1BLDSWT
ENGINE 1 CUTOFF,ENG1CTOFF
ENGINE 2 BLEED SWITCH,ENG2BLDSWT
ENGINE 2 CUTOFF,ENG2CTOFF
ENGINE DISPLAY DATA,ENGDISPDAT
ENGINE PANEL MODE #1,ENGPNLMD1
ENGINE PANEL MODE #2,ENGPNLMD2
ENGINE RATING #1,ENGRAT1
ENGINE RATING #2,ENGRAT2
ENGINE-OUT ENGAGED,ENGOTENG
EVENT MARKER (RESV),EVTMRKRRESV
EXCESS MOTION ERROR,EXCSMOTERR
F/D A ON,FDAON
F/D B ON,FDBON
FAC ARM,FACARM
FAC ENGAGE,FACENG
FAN IMB ACCEL SOURCE,FANIMBACCSRC
FAN IMBALANCE ANGLE L,FANIMBALANGL
FAN IMBALANCE ANGLE R,FANIMBALANGR
FAULT DISPATCH LVL A #1 (EEC),FADSPLVA1EEC
FAULT DISPATCH LVL A #2 (EEC),FADSPLVA2EEC
FC MIN OPERATING SPD,FCMNOPRTSPD
FCC IN CMD OF MACH TRIM,FCCCMDMCHTRM
FIXED DERATE LVL 1,FXDDRTLVL1
FIXED DERATE LVL 2,FXDDRTLVL2
FLAMEOUT PROTECTION ACT 1,FLMOTPRTACT1
FLAMEOUT PROTECTION ACT 2,FLMOTPRTACT2
FLAP HANDLE POSITION,FLPHNDLPOS
FLARE ARM,FLAREARM
FLARE CMND NOT INITATED,FLRCMNDNINIT
FLARE ENGAGE,FLAREENG
FLEET IDENT LSB,FLTIDNTLSB
FLEET IDENT LSB + 1,FLTIDNTLSB1
FLEET IDENT LSB + 2,FLTIDNTLSB2
FLEET IDENT MSB,FLTIDNTMSB
FLIGHT DIRECTOR PITCH - L,FLGTDIRPTCL
FLIGHT DIRECTOR PITCH - R,FLGTDIRPTCR
FLIGHT DIRECTOR ROLL - L,FLGTDIRROLL
FLIGHT DIRECTOR ROLL - R,FLGTDIRROLR
FLIGHT NUMBER LSDigit,FLGTNUMLSD
FLIGHT NUMBER LSDigit + 1,FLGTNUMLSD1
FLIGHT NUMBER LSDigit + 2,FLGTNUMLSD2
FLIGHT NUMBER MSDigit,FLGTNUMMSD
FLIGHT PATH ANGLE,FLGTPTHANG
FLIGHT PATH X POSITION,FLGTPTHXPOS
FLIGHT PATH Y POSITION,FLGTPTHYPOS
FLT CONT A HYD LOW PRESS,FLTCTAHYLPRS
FLT CONT B HYD LOW PRESS,FLTCTBHYLPRS
FLT NUMBER CHAR #1,FLTNUMCHAR1
FLT NUMBER CHAR #2,FLTNUMCHAR2
FLT NUMBER CHAR #3,FLTNUMCHAR3
FLT NUMBER CHAR #4,FLTNUMCHAR4
FLT NUMBER CHAR #5,FLTNUMCHAR5
FLT NUMBER CHAR #6,FLTNUMCHAR6
FLT NUMBER CHAR #7,FLTNUMCHAR7
FLT NUMBER CHAR #8,FLTNUMCHAR8
FMC AIRSPEED SELECTED,FMCAIRSPDSEL
FMC ALTITUDE SELECTED,FMCALTSEL
FMC GROUNDSPEED,FMCGRDSPD
FMC MACH SELECTED,FMCMACHSEL
FMC MAP CHAR 1,FMCMAPCHAR1
FMC MAP CHAR 2,FMCMAPCHAR2
FMC MAP CHAR 3,FMCMAPCHAR3
FMC MAP CHAR 4,FMCMAPCHAR4
FMC MAP CHAR 5,FMCMAPCHAR5
FMC MAP CHAR 6,FMCMAPCHAR6
FMC SELECT SW - CAPT,FMCSELSWCAPT
FMC SELECTED PRIMARY NAV SOURCE,FMCSEPRMNVSR
FMC SELECTED TEMP,FMCSELTMP
FMC SPD,FMCSPD
FMC STATIC AIR TEMP,FMCSTCAIRTMP
FMC VALID,FMCVALID
FMC/IRU DATA SOURCE,FMCIRUDATSRC
FPV SELECTED CAPT,FPVSELCAPT
FPV SELECTED F/O,FPVSELFO
FRAME COUNTER,FRAMECNTR
FSEU FAULT,FSEUFLT
FUEL AIR RATIO STA 36 #1,FLAIRTSTA361
FUEL AIR RATIO STA 36 #2,FLAIRTSTA362
FUEL CONFIGURATION ALERT,FLCFGALT
FUEL FILTER IMP BYPASS #1,FLFLTIMPBYP1
FUEL FILTER IMP BYPASS #2,FLFLTIMPBYP2
FUEL QTY IMBALANCE TANK 1,FLQTYIMBTNK1
FUEL QTY IMBALANCE TANK 2,FLQTYIMBTNK2
FWD THR #1 LMT BY T/R POS,FWTHR1LMTRPS
FWD THR #2 LMT BY T/R POS,FWTHR2LMTRPS
G/S ANTENNA FAILURE-L,GSANTFALL
G/S ANTENNA FAILURE-R,GSANTFALR
G/S ARM,GSARM
G/S BEAM ANOM (ANNUN),GSBMANMANUN
G/S DEV WARN,GSDEVWARN
G/S ENGAGE,GSENGAGE
G/S RECEIVER FAILURE-L,GSRCVFALL
G/S RECEIVER FAILURE-R,GSRCVFALR
GA,GA
GLIDESLOPE,GLIDESLOP
GLIDESLOPE CANCEL,GLIDESLOPCAN
GLIDESLOPE DEV,GLIDESLOPDEV
GLIDESLOPE DEV/ELEVATION,GLDSLPDEVELV
GLS MODE - L,GLSMODEL
GLS MODE - R,GLSMODER
GMT HOURS,GMTHOURS
GMT HRSx1.0,GMTHRSX1
GMT HRSx10,GMTHRSX10
GMT MINUTES,GMTMIN
GMT MINx0.1,GMTMINX01
GMT MINx1.0,GMTMINX1
GMT MINx10,GMTMINX10
GMT SECONDS,GMTSEC
GND STA DATA SEL CAPT,GNDSTDTSLCAP
GND STA DATA SEL F/O,GNDSTDTSLFO
GNSS MODE - L,GNSSMODEL
GNSS MODE - R,GNSSMODER
GNSS OUTPUT CORRECTION,GNSSOTPTCRT
GP ARM,GPARM
GP ENGAGE,GPENGAGE
GPIRU/IRU SELECT,GPIRUIRUSEL
GPS APPROACH,GPSAPPR
GPWC FAILURE,GPWCFAIL
GPWC V1 CALLOUT ENABLE C,GPCV1CLTENC
GPWC V1 CALLOUT ENABLE FO,GPCV1CLTENFO
GPWS ALERT,GPWSALRT
GPWS INOP,GPWSINOP
GPWS WARNING,GPWSWARN
GROSS WEIGHT,GRSSWGHT
GROUND EFFECT INOP,GRDEFFINOP
GROUND SPOILER/SPD BRK,GRDSPRSPDBRK
GUIDANCE CUE X POSITION,GUIDCUEXPOS
GUIDANCE CUE Y POSITION,GUIDCUEYPOS
GUIDANCE CUE/FLT PATH DEV,GUIDCFLTPTDV
HDG SEL PB LITE,HDGSELPBLTE
HDG SELECT,HDGSEL
HEADING UP MAP FMT CAPT,HDUPMPFMTCAP
HEADING UP MAP FMT F/O,HDUPMPFMTFO
HF-LEFT KEYING,HFLEFTKEY
HF-RIGHT KEYING,HFRIGTKEY
HG SELECTED CAPT,HGSELCAPT
HG SELECTED F/O,HGSELFO
HIGH SPD BUFFET SPD,HGHSPDBUFSPD
HPA SELECTED CAPT,HPASELCAPT
HPA SELECTED F/O,HPASELFO
HUD AIII CAPABILITY,HUDAIIICAPB
HUD AIII MODE,HUDAIIIMOD
HUD APPROACH WARNING,HUDAPPRWRN
HUD HGS BIT FAULT,HUDHGSBITFLT
HUD IN USE COMBINER POSN,HUDUSCMBRPOS
HUD INST METEORO COND,HUDINSTMECND
HUD VISUAL METEORO COND,HUDVISMECND
HYD OIL PRESSURE SYS A,HYDOILPRSYSA
HYD OIL PRESSURE SYS B,HYDOILPRSYSB
HYD SYS A ELEC,HYDSYSAELEC
HYD SYS A ENG - 1,HYDSYSAENG1
HYD SYS B ELEC,HYDSYSBELEC
HYD SYS B ENG - 2,HYDSYSBENG2
HYD SYS STBY,HYDSYSSTBY
HYDRAULIC OIL QTY SYS A,HYDOLQTYSYSA
HYDRAULIC OIL QTY SYS B,HYDOLQTYSYSB
IAS DISPLAY,IASDISP
ILS DEV WARN,ILSDEVWARN
ILS FAILURE - L,ILSFALL
ILS FAILURE - R,ILSFALR
ILS FREQ/GLS CHNL - LSD,ILSFGLSCHLSD
ILS FREQ/GLS CHNL - MSD,ILSFGLSCHMSD
ILS MODE,ILSMODE
ILS MODE - L,ILSMODEL
ILS MODE - R,ILSMODER
ILS/MLS/GLS MODE SEL - L,ILSMGLSMDSEL
ILS/MLS/GLS MODE SEL - R,ILSMGLSMDSER
INNER MARKER (3000 HZ),INRMRK3KHZ
INPUT DATA - L,INPTDATL
INPUT DATA - R,INPTDATR
IR A/C IDENT CODE INVALID,IRACIDTCDINV
IR FAULT,IRFLT
IR TO ADR DATA INVALID,IRADRDATINV
IRNAV CAPABLE,IRNAVCAP
IRS SELECT SW - CAPT,IRSSELSWCAP
L NAV ENGAGE,LNAVENG
L NAV MODE OPER,LNAVMDOPER
LAND 2 (PFD),LAND2PFD
LAND 3 (PFD),LAND3PFD
LAT POS<35FT,LATPOSLT35
LAT POS<45/40FT,LATPOSLT4540
LAT POS>35FT,LATPOSGT35
LATERAL ACCELERATION,LATACCL
LAVATORY SMOKE,LAVATSMK
LE CRUISE DEP,LECRUSDEP
LE FLAP 1 EXTEND,LEFLP1EXT
LE FLAP 1 INTRANSIT,LEFLP1INTRN
LE FLAP 2 EXTEND,LEFLP2EXTD
LE FLAP 2 INTRANSIT,LEFLP2INTR
LE FLAP 3 EXTEND,LEFLP3EXTD
LE FLAP 3 INTRANSIT,LEFLP3INTR
LE FLAP 4 EXTEND,LEFLP4EXTD
LE FLAP 4 INTRANSIT,LEFLP4INTR
LE MASTER EXTEND,LEMSTREXT
LE MASTER INTRANSIT,LEMSTRINTR
LE SLAT 1 EXTEND,LESLT1EXT
LE SLAT 1 FULL EXTEND,LESLT1FLEXT
LE SLAT 1 INTRANSIT,LESLT1INTRN
LE SLAT 2 EXTEND,LESLT2EXT
LE SLAT 2 FULL EXTEND,LESLT2FLEXT
LE SLAT 2 INTRANSIT,LESLT2INTRN
LE SLAT 3 EXTEND,LESLT3EXT
LE SLAT 3 FULL EXTEND,LESLT3FLEXT
LE SLAT 3 INTRANSIT,LESLT3INTRN
LE SLAT 4 EXTEND,LESLT4EXT
LE SLAT 4 FULL EXTEND,LESLT4FLEXT
LE SLAT 4 INTRANSIT,LESLT4INTRN
LE SLAT 5 EXTEND,LESLT5EXT
LE SLAT 5 FULL EXTEND,LESLT5FLEXT
LE SLAT 5 INTRANSIT,LESLT5INTRN
LE SLAT 6 EXTEND,LESLT6EXT
LE SLAT 6 FULL EXTEND,LESLT6FLEXT
LE SLAT 6 INTRANSIT,LESLT6INTRN
LE SLAT 7 EXTEND,LESLT7EXT
LE SLAT 7 FULL EXTEND,LESLT7FLEXT
LE SLAT 7 INTRANSIT,LESLT7INTRN
LE SLAT 8 EXTEND,LESLT8EXT
LE SLAT 8 FULL EXTEND,LESLT8FLEXT
LE SLAT 8 INTRANSIT,LESLT8INTRN
LE UCM (UNCOMMANDED MOTION),LEUCMUNCDMTN
LE UCM SHUTOFF,LEUCMSHTOF
LEFT ECS PACK FLOW,LFTECSPCKFLW
LEFT ECS PACK ON,LFTECSPCKON
LEFT EGT NORM AMB LIMIT,LFEGTNMAMBLT
LEFT EGT NORM REDLINE,LFEGTNRMRDL
LEFT EGT START REDLINE,LFEGTSTRRDL
LEFT ENG HOT START DETECT,LFENGHTSTRDT
LEFT ENG N1 TACHOMETER,LFENGN1TCMTR
LEFT ENG N2 TACHOMETER,LFENGN2TCMTR
LEFT ENGINE FAIL,LFTENGFAL
LEFT EXC INVALID,LFTEXCINVAL
LEFT FUEL FILTER IMP BY,LFTFUFLTIMP
LEFT GEAR DOWN,LFTGERDWN
LEFT GEAR RED WARN,LFTGERREDWRN
LEFT IGN (#2) CMD ON #1,LFTIGN2CMD1
LEFT IGN (#2) CMD ON #2,LFTIGN2CMD2
LEFT LOW OIL PRESS AMB,LFLWOLPRSAMB
LEFT LOW OIL PRESS CAUT,LFTLWOLPRCAT
LEFT LOW OIL PRESS RED,LFTLWOLPRRED
LEFT MAIN FUEL QTY,LFTMANFULQTY
LEFT MAIN GEAR AIR/GND,LFTMNGERARGD
