ParamName,Mnemonic
C MAIN VOL OFF (LSH),CTVSHUT
C MAIN VOL OFF (MSH),CTVSHUT
CAP WHL 1 POSN,CWHL1POS
CAP WHL 2 POSN,CWHL2POS
CAP WHL 3 POSN,CWHL3POS
DAY,DATECLKDAY
MONTH,DATECLKMON
YEAR,DATECLKYR
LOAD COMP DIFF PRESS,DELP
DEP AIRPORT CHAR 2,DEPRTARPT11
DEP AIRPORT CHAR 1,DEPRTARPT14
DEP AIRPORT CHAR 4,DEPRTARPT23
DEP AIRPORT CHAR 3,DEPRTARPT22
DEST ARPRT CHAR 1,DESTARPT1
DEST ARPRT CHAR 2,DESTARPT1
DEST ARPRT CHAR 3,DESTARPT2
DEST ARPRT CHAR 4,DESTARPT2
DOWN ADVISORY,DNADV
DOOR 2 GALY UNPOW,DR2GALUNPW
DOOR 4 L GALY UNPOW,DR4LGALUNP
DRIFT ANGLE,DRIFTANGLE
DON'T SINK,DSINK
CABIN ALTITUDE RATE,E5D041400
DIFFERENTIAL PRESSUR,E5D051400
FWD OFV % OPEN WORD,E5D061400
AFT OFV % OPEN WORD,E5D071400
ASCS L DUCT PRESS PI,E60031500
ASCS R DUCT PRESS PI,E60031500
ASCS L DUCT PRESS PM,E60041500
ASCS R DUCT PRESS PM,E60041500
ASCS L FLOW RATE FS,E60051500
ASCS R FLOW RATE FS,E60051500
ASCS L PC OUT TEMP,E60071500
ASCS R PC OUT TEMP,E60071500
ASCS PRSOV ACT POSN,E60081515
ASCS HPSOV ACT POSN,E60091515
ASCS FAMV ACT POSN,E60101515
ASCS ISV ACTUAL POSN,E60111515
ASCS CISV/APUSOV ACT,E60121515
BLEED FAILED OFF,E60200808
TRANSMIT ACTIVE,E63030000
LASCPC SW VERSION P2,E63051500
LASCPC SW VERSION P1,E63051500
RASCPC SW VERSION P1,E63051500
RASCPC SW VERSION P2,E63051500
L ECV CLOSED,ECVCLOSEDL
EEC MAINT PACKED DIS,EECRRMW02
EEC MAINT PACKED DIS,EECRRMW06
EEC MAINT PACKED DIS,EECRRMW11
EEC MAINT PACKED DIS,EECRRMW14
EEC STATUS WORD #1 L_351_1,EECSTAT3511
EEC STATUS WORD #1 L_9,EECSTATL9
EEC STATUS WORD #1 L_351_4,EECSTAT3514
EEC STATUS WORD #1 L_351_3,EECSTAT3513
EEC STATUS WORD #1 L_351_2,EECSTAT3512
EEC STATUS WORD #1 L_351_8,EECSTAT3518
EEC STATUS WORD #1 L_351_5,EECSTAT3515
EEC STATUS WORD #1 L_351_7,EECSTAT3517
EEC STATUS WORD #1 L_351_6,EECSTAT3516
EEC STATUS WORD #1 L_12,EECSTATL12
EEC STATUS WORD #1 L_11,EECSTATL11
EEC STATUS WORD #1 L_10,EECSTATL10
EEC STATUS WORD #1 R_12,EECSTATR12
EEC STATUS WORD #1 R_442_5,EECSTAT4425
EEC STATUS WORD #1 R_442_4,EECSTAT4424
EEC STATUS WORD #1 R_442_1,EECSTAT4421
EEC STATUS WORD #1 R_442_3,EECSTAT4423
EEC STATUS WORD #1 R_442_2,EECSTAT4422
EEC STATUS WORD #1 R_11,EECSTATR11
EEC STATUS WORD #1 R_442_8,EECSTAT4428
EEC STATUS WORD #1 R_442_7,EECSTAT4427
EEC STATUS WORD #1 R_442_6,EECSTAT4426
EEC STATUS WORD #1 R_10,EECSTATR10
EEC STATUS WORD #1 R_9,EECSTATR9
EEC TEMPERATURE,EECT
EFIS_BARO_CORR_HG_CA,EFISBACHGC
EFIS_MINS_BARO_SET_C,EFISMIBASC
APU EXHAUST T CORR,EGT
EGT (LEFT),EGT
EGT (RIGHT),EGT
EICAS EXCEEDANCE WOR,EICASEXCD
EICAS MESSAGE WORD #,EICASMSG3
EICAS MESSAGE WORD #,EICASMSG4
ELEVATOR POSN PFC,ELEVPOSAVG
ELEV POSN L,ELVLPOSN
ELEV POSN R,ELVRPOSN
ENGINE FLAMEOUT - CA,ENGFLAMOUT
ENGINE LEFT OIL QTY,ENGLOILQRE
ENGINE LEFT OIL QTY,ENGLOILQSE
LEFT ENG OIL QTY,ENGLOILQUI
ENGINE RIGHT OIL QTY,ENGROILQRE
ENGINE RIGHT OIL QTY,ENGROILQSE
RIGHT ENG OIL QTY,ENGROILQUI
ENGINE TYPE,ENGTYPE
EPR ACTUAL (LEFT),EPRACT
EPR ACTUAL (RIGHT),EPRACT
EPRCMD (LEFT),EPRCMD
EPRCMD (RIGHT),EPRCMD
EPRMAX (LEFT),EPRMAX
EPRMAX (RIGHT),EPRMAX
EPR TRA,EPRTRA
ENGINE S/N LSD (L)x1,ESNLSDLx1
ENGINE S/N LSD (L)x10,ESNLSDLx10
ENGINE S/N LSD (L)x100,ESNLSDLx100
ENGINE S/N LSD(R)x10,ESNLSDRx10
ENGINE S/N LSD(R)x100,ESNLSDRx100
ENGINE S/N LSD(R)x1,ESNLSDRx1
ENGINE S/N MSD (L)x100000,ESNMSDL1284
ENGINE S/N MSD (L)x1000,ESNMSDL12812
ENGINE S/N MSD (L)x100000,ESNMSDL1288
ENGINE S/N MSD(R)x100000,ESNMSDR1284
ENGINE S/N MSD(R)x10000,ESNMSDR1288
ENGINE S/N MSD(R)x1000,ESNMSDR12812
VHF KEYING CENTER,EVENTRPT9
VHF KEYING LEFT,EVENTRPT11
VHF KEYING RIGHT,EVENTRPT10
TIRE 01 PRESSURE,F460314T01
TIRE 02 PRESSURE,F460414T02
TIRE 06 PRESSURE,F460514T05
TIRE 06 PRESSURE,F460614T06
TIRE 09 PRESSURE,F460714T09
TIRE 10 PRESSURE,F460814T10
TIRE 03 PRESSURE,F470314T03
TIRE 04 PRESSURE,F470414T04
TIRE 07 PRESSURE,F470514T07
TIRE 08 PRESSURE,F470614T08
TIRE 11 PRESSURE,F470714T11
TIRE 12 PRESSURE,F470814T12
BRAKE 01 TEMP RO,F4F0315B01
BRAKE 02 TEMP RO,F4F0415B02
BRAKE 05 TEMP RO,F4F0515B05
BRAKE 06 TEMP RO,F4F0615B06
BRAKE 09 TEMP RO,F4F0715B09
BRAKE 10 TEMP RO,F4F0815B10
BRAKE 03 TEMP RO,F500315B03
BRAKE 04 TEMP RO,F500415B04
BRAKE 07 TEMP RO,F500515B07
BRAKE 08 TEMP RO,F500615B08
BRAKE 11 TEMP RO,F500715B11
BRAKE 12 TEMP RO,F500815B12
PEP PERCENT LOAD,F6BPEPLPU
IDG/AP CUR PH A APU,F6FLODPHA
IDG/AP CUR PH A (L),F6FLODPHA
IDG/AP CUR PH C R,F6FLODPHC
EEC STATUS DEP #2 RR,FC613
EEC STATUS WORD #2 L_352_1,FCC33521
EEC STATUS WORD #2 L_5,FCC3L5
EEC STATUS WORD #2 L_352_2,FCC33522
EEC STATUS WORD #2 L_352_4,FCC33524
EEC STATUS WORD #2 L_352_3,FCC33523
EEC STATUS WORD #2 L_8,FCC3L8
EEC STATUS WORD #2 L_7,FCC3L7
EEC STATUS WORD #2 L_6,FCC3L6
EEC STATUS WORD #2 L_353_12,FCC335312
EEC STATUS WORD #2 L_353_11,FCC335311
EEC STATUS WORD #2 L_353_9,FCC33539
EEC STATUS WORD #2 L_353_10,FCC335310
EEC STATUS WORD #2 R_443_2,FCC34432
EEC STATUS WORD #2 R_443_1,FCC34431
EEC STATUS WORD #2 R_5,FCC3R5
EEC STATUS WORD #2 R_443_4,FCC34434
EEC STATUS WORD #2 R_443_3,FCC34433
EEC STATUS WORD #2 R_6,FCC3R6
EEC STATUS WORD #2 R_8,FCC3R8
EEC STATUS WORD #2 R_7,FCC3R7
EEC STATUS WORD #2 R_444_10,FCC344410
EEC STATUS WORD #2 R_444_9,FCC34449
EEC STATUS WORD #2 R_444_12,FCC344412
EEC STATUS WORD #2 R_444_11,FCC344411
EEC STATUS WORD #3 L_2,FCC4L2
EEC STATUS WORD #3 L_1,FCC4L1
EEC STATUS WORD #3 L_4,FCC4L4
EEC STATUS WORD #3 L_3,FCC4L3
EEC STATUS WORD #3 L_437_6,FCC44376
EEC STATUS WORD #3 L_437_5,FCC44375
EEC STATUS WORD #3 L_437_8,FCC44378
EEC STATUS WORD #3 L_437_7,FCC44377
EEC STATUS WORD #3 L_437_12,FCC443712
EEC STATUS WORD #3 L_437_9,FCC44379
EEC STATUS WORD #3 L_437_11,FCC443711
EEC STATUS WORD #3 L_437_10,FCC443710
EEC STATUS WORD #3 R_2,FCC4R2
EEC STATUS WORD #3 R_1,FCC4R1
EEC STATUS WORD #3 R_3,FCC4R3
EEC STATUS WORD #3 R_4,FCC4R4
EEC STATUS WORD #3 R_445_6,FCC44456
EEC STATUS WORD #3 R_445_5,FCC44455
EEC STATUS WORD #3 R_445_8,FCC44458
EEC STATUS WORD #3 R_445_7,FCC44457
EEC STATUS WORD #3 R_445_10,FCC444510
EEC STATUS WORD #3 R_445_9,FCC44459
EEC STATUS WORD #3 R_445_11,FCC444511
EEC STATUS WORD #3 R_445_12,FCC444512
SURGE DETECTED_35_11,FCC4B1211
SURGE DETECTED_147_5,FCC4B125
EEC STATUS WORD #4 L_438_2,FCC54382
EEC STATUS WORD #4 L_438_1,FCC54381
EEC STATUS WORD #4 L_438_3,FCC54383
EEC STATUS WORD #4 L_438_4,FCC54384
EEC STATUS WORD #4 L_438_8,FCC54388
EEC STATUS WORD #4 L_438_5,FCC54385
EEC STATUS WORD #4 L_438_7,FCC54387
EEC STATUS WORD #4 L_438_6,FCC54386
EEC STATUS WORD #4 L_12,FCC5L12
EEC STATUS WORD #4 L_9,FCC5L9
EEC STATUS WORD #4 L_11,FCC5L11
EEC STATUS WORD #4 L_10,FCC5L10
EEC STATUS WORD #4 R_174_2,FCC51742
EEC STATUS WORD #4 R_174_1,FCC51741
EEC STATUS WORD #4 R_174_6,FCC51746
EEC STATUS WORD #4 R_174_3,FCC51743
EEC STATUS WORD #4 R_174_5,FCC51745
EEC STATUS WORD #4 R_174_4,FCC51744
EEC STATUS WORD #4 R_10,FCC5R10
EEC STATUS WORD #4 R_174_7,FCC51747
EEC STATUS WORD #4 R_9,FCC5R9
EEC STATUS WORD #4 R_174_8,FCC51748
EEC STATUS WORD #4 R_12,FCC5R12
EEC STATUS WORD #4 R_11,FCC5R11
EEC STATUS WORD #5 L_439_4,FCC64394
EEC STATUS WORD #5 L_439_1,FCC64391
EEC STATUS WORD #5 L_439_3,FCC64393
EEC STATUS WORD #5 L_439_2,FCC64392
EEC STATUS WORD #5 L_8,FCC6L8
EEC STATUS WORD #5 L_5,FCC6L5
EEC STATUS WORD #5 L_7,FCC6L7
EEC STATUS WORD #5 L_6,FCC6L6
EEC STATUS WORD #5 L_440_12,FCC644012
EEC STATUS WORD #5 L_440_9,FCC64409
EEC STATUS WORD #5 L_440_11,FCC644011
EEC STATUS WORD #5 L,FCC6
EEC STATUS WORD #5 R_175_2,FCC61752
EEC STATUS WORD #5 R_175_1,FCC61751
EEC STATUS WORD #5 R_6,FCC6R6
EEC STATUS WORD #5 R_175_3,FCC61753
EEC STATUS WORD #5 R_5,FCC6R5
EEC STATUS WORD #5 R_175_4,FCC61754
EEC STATUS WORD #5 R_8,FCC6R8
EEC STATUS WORD #5 R_7,FCC6R7
EEC STATUS WORD #5 R_176_10,FCC617610
EEC STATUS WORD #5 R_176_9,FCC61769
EEC STATUS WORD #5 R_176_12,FCC617612
EEC STATUS WORD #5 R_176_11,FCC617611
STARTING/IGNITION SY_11,FCC811
STARTING/IGNITION SY_5,FCC85
STARTING/IGNITION SY_3,FCC83
STARTING / FUEL SYST_4,FCC94
STARTING / FUEL SYST_3,FCC93
F/O COL 1 POSN,FCOL1POS
F/O COL 2 POSN,FCOL2POS
F/O COL 3 POSN,FCOL3POS
QAR_FRAMES_SENT COPY,FCOUNTER
EEC STATUS DEP #1 RR,FDA10
FD ON - CAPT ATT,FDCAPTATT
F/D ON - CAPT FPV,FDCAPTFPV
F/D ON - FO ATT,FDFOATT
F/D ON - FO FPV,FDFOFPV
FLT DIRECTOR - PITCH,FDPTC
FLT DIRECTOR - ROLL,FDROLL
FLAPS IN CMD POSN,FICP
FLARE MODE ARMED,FLAREARM
FLARE MODE OPER,FLAREOPER
FLCH MODE OPER,FLCHOPER
FLIGHT NUMBER CHAR 1,FLGHTNUM1
FLIGHT NUMBER CHAR 2,FLGHTNUM1
FLIGHT NUMBER CHAR 4,FLGHTNUM2
FLIGHT NUMBER CHAR 3,FLGHTNUM2
Flt number char 5,FLGHTNUM3
Flt number char 6,FLGHTNUM3
Flt number char 7,FLGHTNUM4
Flt number char 8,FLGHTNUM4
FLAPS POSN DETENT 15,FLP15
FLAPS POSN DETENT 20,FLP20
FLAPS POSN DETENT 25,FLP25
FLAPS POSN DETENT 30,FLP30
FLAPS POSN DETENT 5,FLP5
Flap angle,FLPANGL
FLAPS IN LAND,FLPLDG
FLAPS SNSR L POSN,FLPLPOSN
Flap position,FLPPOSN
FLAPS PRI EXT,FLPPRIEXT
FLAPS PRI RETR,FLPPRIRETR
FLAPS SNSR R POSN,FLPRPOSN
FLAPS SEC EXT,FLPSECEXT
FLAPS SEC RETR,FLPSECRETR
FLAPS IN TAKEOFF,FLPTO
FLAPS POSN DETENT UP,FLPUP
FLPRN POSN L,FLRNLPOSN
FLPRN POSN R,FLRNRPOSN
Flt number char 9,FLTNUMPT5
Flt number char 10,FLTNUMPT5
APU FLIGHT OP HOURS,FLTOPHOURS
FLIGHT PATH ANGLE,FLTPATHANG
FLIGHT PHASE,FLTPHASE
FLIGHT PATH ACCEL,FLTPTHACCL
FMF_ALTERR,FMALTERR
FMF_CLIMBOUT_SPD,FMCLBOTSPD
FMF_DECISION_SPD,FMDECSPD
FMF_CAS_TGT,FMFCASTGT
FMF_CG_120_4,FMFCG1204
FMF_CG_120_9,FMFCG1209
FMF_CG_120_5,FMFCG1205
FMF_CG_120_12,FMFCG12012
FMF_TIME_FOR_CLIMB,FMFCLBTIME
FMF_SEL_CRUISE_ALT,FMFCRZALT
FMF_TIME_FOR_DESCENT,FMFDSCTIME
FMF_ETA_TOP_OF_DESC,FMFETATOD
FMF_FLT_PHASE,FMFFLTPHAS
FMF_GROUNDSPEED,FMFGRDSPD
FMF_GROSS_WEIGHT,FMFGROSSWT
FMF_FLAP_EXTEND_SPD,FMFLPEXT
FMF_FLAP_UP_MAX_SPD,FMFLPMXSPD
FMF_FLAP_RETRACT_SPD,FMFLPRETR
FMF_MACH_TGT,FMFMACHTGT
FMF_POS_LAT (MSH),FMFPOSLAT
FMF_POS_LAT (LSH),FMFPOSLAT
FMF_POS_LON (MSH),FMFPOSLON
FMF_POS_LON (LSH),FMFPOSLON
FMF_ACT_TGT_ALT,FMFTGTALT
FMF_TRUE_HDG,FMFTRUEHDG
FMF_TRUE_TRACK,FMFTRUETRK
VOR FREQUENCY (LEFT)_121_4,FMFVORFRL4
VOR FREQUENCY (LEFT)_121_12,FMFVOREQL12
VOR FREQUENCY (LEFT)_121_8,FMFVORFREQL8
VOR FREQUENCY (LEFT)_122_12,FMFVORFREQ12
VOR FREQUENCY(R)_122_6,FMFVORFREQ6
VOR FREQUENCY(R)_122_4,FMFVORFREQ4
VOR FREQUENCY(R)_122_12,FMFVORFRE12
VOR FREQUENCY(R)_122_8,FMFVORFREQ8
FMF_ZERO_FUEL_WT,FMFZFUELWT
FMF_SEL_LANDING_ALT,FMLANDALT
FUEL USED L (L ENG),FMLFUELUSD
FMF_MIN_MNVR_SPD,FMMINMVRSD
FUEL USED R (R ENG),FMRFUELUSD
FMF_RNP_LSP,FMRNP
FMF_RNP_MSP,FMRNP
FMF_ROTATION_SPD,FMROTSPD
FMF_SEL_REF_SPD,FMSELREF
FMV DEMAND (LEFT),FMVDEM
FMV DEMAND (RIGHT),FMVDEM
APU FUEL VALVE POSN,FMVPOS
FMF_XTRKE,FMXTRKE
TMF TAKEOFF DERATE,FNDERATESW
V/S OR FPA DISPLAY,FPADISP
FLIGHT PATH ANGLE,FPAOPER
FLAP SNSR L1 POSN,FSSL1
FLAP SNSR R8 POSN,FSSR8
FAIL_TO_GROUND,FTGDISCRT
FWD UPPER RECIRC FAN,FUFANONSSR
FWD UPR MDL EXH VLV,FWDUMEXVI
FWD UPR MDL SOV INOP,FWDUMSOVI
FFUEL XFEED VLV CLSD,FWDXFEEDCL
FFUEL XFEED VLV OPEN,FWDXFEEDOP
F/O WHL 1 POSN,FWHL1POS
F/O WHL 2 POSN,FWHL2POS
F/O WHL 3 POSN,FWHL3POS
GPS ALT MSL (LSH),GAM3
GPS ALT MSL (MSH),GAM3
AFDS G/A OPER,GAOPER
GPS GROUND SPEED,GGS3
GLIDESLOPE DEV (C),GLIDEDEVIA
GLIDESLOPE DEV (L),GLIDEDEVIA
GLIDESLOPE DEV (R),GLIDEDEVIA
GPS LONGITUDE (MSH),GLN3
GPS LONGITUDE (LSH),GLN3
GPS LATITUDE (MSH),GLT3
GPS LATITUDE (LSH),GLT3
GMT HOURS,GMTHRSBNR
GMT MINUTES,GMTMINBNR
GMT SECONDS,GMTSECBNR
APU GROUND OP HOURS,GNDOPHOURS
GROUND SPEED,GROUNDSPED
GS MODE ARMED,GSARM
GUST SUPPRESSION DEL,GSFDPUPR
GUST SUPP DEL-P UPR,GSFDPUPR
GLIDESLOPE,GSLOP
GS MODE OPER,GSOPER
HDG HLD MODE OPER,HDGHLDOPER
HDG SEL MODE OPER,HDGSELOPER
"HIGHWINS, MAG L",HIWINSMAG
"HIGHWINS, MAG R",HIWINSMAG
C HYD AIR PUMP 1 L/G,HYC1ARLG
C HYD AIR PUMP 2 L/G,HYC2ARLG
C HYD AIR PUMP 1 T,HYSC1ARTM
C HYD ELEC PUMP 1 T,HYSC1ELTM
C HYD AIR PUMP 2 T,HYSC2ARTM
C HYD ELEC PUMP 2 T,HYSC2ELTM
C RSVR QUANTITY HC2,HYSCRSVRQY
C RSVR TEMP HC2,HYSCRSVRTM
C HYD SYS PRESS HC1,HYSCSYPR
L HYD ELEC PUMP TEMP,HYSLELTM
L HYD ENG PUMP TEMP,HYSLENTM
L RSVR QUANTITY HL,HYSLRSVRQY
L RSVR TEMP HL,HYSLRSVRTM
L HYD SYS PRESS HL,HYSLSYPR
R HYD ELEC PUMP TEMP,HYSRELTM
R HYD ENG PUMP TEMP,HYSRENTM
R RSVR QUANTITY HR,HYSRRSVRQY
R RSVR TEMP HR,HYSRRSVRTM
R HYD SYS PRESS HR,HYSRSRPR
Registration char 1,ICAOP2RGPI
IDG/AP GEN % LOAD R,IDGAPLDPU
IDG INLET OIL TEMPER,IDGIOTSEL
IDG OUTLET OIL TEMPE,IDGOOTSEL
IN GUIDE VANE CMD,IGVCMD
APU IN GUIDE VANE,IGVPOS
FSEU 1 IN CONTROL,INCONT
FSEU 2 IN CONTROL,INCONT
INDICATED AOA (LEFT),INDAOAL
INDICATED AOA (R),INDAOAR
INNER MARKER,INMARKER
INTRUDER ALTITUDE,INTALT
HF KEYING LEFT,KEYEVENT
HF KEYING RIGHT,KEYEVENT
L AFT BOOST PUMP LOW,LABSTPMPP
L AC UTIL BUS UNPOW,LACUTBSUNP
L AC XFR BUS UNPOWRD,LACXFBSUNP
AIL POSN L,LAILIBPOS
AIL POSN L,LAILOBPOS
LAND 2 ON PFD,LAND2PFD
LAND 3 ON PFD,LAND3PFD
LANDING ALTITUDE,LANDALTITU
L CTC APU DEMAND,LAPUDEMAND
LATITUDE (MSH),LATITUDE
LATITUDE (LSH),LATITUDE
LB/KG STATUS,LBKG
L CH1 OPC VERSION NU,LCH1OPCN0
L CH1 OPS VERSION NU,LCH1SWN0
ELEV POSN L,LELEVIBPOS
ELEV POSN L,LELEVOBPOS
LEFT FAN CASE OVERHE,LFCOVHT2
TOO LOW FLAP,LFLAP
L PACK FLOW SCHEDULE,LFLWSCHED
FLPRN POSN L,LFPRNIBPOS
FLPRN POSN L,LFPRNOBPOS
L FWD FUEL BOOST LOW,LFWDPMPLP
LDG GR CTRL LVR DN,LGCLVD
TOO LOW GEAR,LGEAR
LOOP IN CONTROL (L),LIC
LOOP IN CONTROL (R),LIC
LEFT LOWER RECIRC FA,LLFANONSSL
LEFT LOWER RECIRC FA,LLFANONSSR
LEFT MAIN DENCITY,LMDENS
L MAIN FUEL TEMP,LMFUELTMP
L MAIN FUEL WEIGHT,LMFW
L MLG DOWN & LOCKED,LMLGDLK
LEFT MLG TRUCK TILT,LMLGTT
LEFT MLG UP & LOCKED,LMLGULK
L MAIN AC BUS UNPOW,LMNACBSUNP
L MAIN VOL OFF (MSH),LMVSHUT
L MAIN VOL OFF (LSH),LMVSHUT
LNAV MODE ARMED,LNAVARM
LNAV MODE OPER,LNAVOPER
LOC MODE ARMED,LOCARM
LOCALIZER DEV (C),LOCDEVIA
LOCALIZER DEV (L),LOCDEVIA
LOCALIZER DEV (R),LOCDEVIA
LOC MODE OPER,LOCOPER
LONGITUDE (MSH),LONGITUDE
LONGITUDE (LSH),LONGITUDE
LOW FLOW,LOWFLOW
LOW_OIL_PRESSURE,LOWOILPSR
L PACK CHANNEL IN CO,LPKCTRL
L PACK ON/OFF STATUS,LPKON
L REVERSER POSN (L),LREVPOS
L REVERSER POSN (R),LREVPOS
TOO LOW TERRAIN,LTERR
L TRU CURRENT,LTRUI
L TRU VOLTAGE,LTRUV
