ParamName,Mnemonic
BCRS MODE OPER,BCRSOPER
GS MODE OPER,GSOPER
FLARE MODE OPER,FLAREOPER
ROLLOUT MODE OPER,RLLOUTOPER
PITCH MODE FAIL,PTCMODFAIL
ROLL MODE FAIL,ROLMODFAIL
LNAV MODE ARMED,LNAVARM
VNAV MODE ARMED,VNAVARM
LOC MODE ARMED,LOCARM
GS MODE ARMED,GSARM
FLARE MODE ARMED,FLAREARM
DISPATCH STATUS COND,DSC2DISFCC
L FWD FUEL BOOST LOW,LFWDPMPLP
FFUEL XFEED VLV CLSD,FWDXFEEDCL
FFUEL XFEED VLV OPEN,FWDXFEEDOP
R FWD FUEL BOOST LOW,RFBSTPMPP
DOOR 4 L GALY UNPOW,DR4LGALUNP
DOOR 2 GALY UNPOW,DR2GALUNPW
L AC UTIL BUS UNPOW,LACUTBSUNP
L AC XFR BUS UNPOWRD,LACXFBSUNP
L MAIN AC BUS UNPOW,LMNACBSUNP
TAT PROBE HEATER ON,TATHTRON
AFT FUEL XFEED VLV O,AFTXFEEDOP
AFDS G/A OPER,GAOPER
CTAI VLV POSN,CSTAT_113
RIGHT MLG TRUCK TILT,RMLGTT
R PACK OUT OVERTEMP,TOVERPKR
R COMP OVERTEMP,TOVERCPR
L PACK OUT OVERTEMP,TOVERPKL
L COMP OVERTEMP,TOVERCPL
SLAT SNSR 8 OUTBD R,SSS8OUT
SLAT SNSR 8 INBD (R),SSS8IN
SLAT SKEW SNSR 13 R,SSS13
SLAT SKEW SNSR 2 (L),SSS2
SLAT SNSR 7 OUTBD L,SSS7OUT
SLAT SNSR 7 INBD (L),SSS7IN
WTAI R WPRSOV POSN,WSTAT213
WTAI L WPRSOV POSN,WSTAT215
CTAI VLV POSN RIGHT,CSTAT_115R
CTAI VLV POSN LEFT,CSTAT_115L
FLIGHT PHASE,FLTPHASE
EGT (LEFT),EGT_L
EGT (RIGHT),EGT_R
TRA (LEFT),TRA_L
TRA (RIGHT),TRA_R
FMF_CG,FMFCG
YEAR,DATECLKYR
DAY,DATECLKDAY
MONTH,DATECLKMON
LB/KG STATUS,LBKG
TRANSMIT ACTIVE,E63030000
ENGINE S/N LSD (LEFT,ESNLSDL
VOR FREQUENCY (LEFT),FMFVORL_121
CLB_LIM_MODE,TMCLBLIMMD
DERATE_1,TMDRTE1
DERATE_2,TMDRTE2
VOR FREQUENCY (R),FMFVOR_122
C DEM 1 PUMP SEL,C1DEMPUMP
VOR FREQUENCY (R),FMFVOR_123
FMF_ALTITUDE (MSH),NVFMFALT
APU SERIAL NO. LSH,APUSN
C DEM 2 PUMP SEL,C2DEMPUMP
FMF_ALTITUDE (LSH),NVFMFALT
FLAP ANGLE,FLPANGL
FLAP POSITION,FLPPOSN
ENGINE S/N MSD (LEFT,ESNMSDL
ENGINE S/N LSD (RIGH,ESNLSDR
QAR_FRAMES_SENT COPY,FCOUNTER
ENGINE S/N MSD (RIGH,ESNMSDR
ADV RATE TO MAINTAIN,ADVRTTM
TRACK HORIZ ACCEL,ALNGTRKHRZ
RADIO HEIGHT,RH
CARGO HEAT:ADVISORY,CRGOHTADV
ALTITUDE (1013) LSH,ALT_L
ALTITUDE (1013) MSH,ALT_M
ALT 1013 (SAARU) MSH,ALT_SM
THRUST NOT COMPUTED,TNC
THRUST COMP FAILED,TCF
ALT 1013 (SAARU) LSH,ALT_SR
AIL POSN L,AILLPOSN
AIL POSN R,AILRPOSN
ELEV POSN L,ELVLPOSN
ELEV POSN R,ELVRPOSN
ALT RATE (SAARU),ALTRATE
L PACK FLOW SCHEDULE,LFLWSCHED
APU BAT CURRENT,APUBATI
ZONE 1 IDENTITY NUMB,ZONE1ID
ZONE 2 IDENTITY NUMB,ZONE2ID
ZONE 3 IDENTITY NUMB,ZONE3ID
ZONE 4 IDENTITY NUMB,ZONE4ID
APU BAT VOLTAGE,APUBATV
ASCS L FLOW RATE FS,E60051500
BODY PITCH RATE,BODPTCHRAT
BODY ROLL RATE,BODROLLRAT
BODY YAW RATE,BODYAWRATE
ZONE 5 IDENTITY NUMB,ZONE5ID
BRAKE 01 TEMP RO,F4F0315B01
BRAKE 02 TEMP RO,F4F0415B02
ZONE 7 IDENTITY NUMB,ZONE7ID
BRAKE 05 TEMP RO,F4F0515B05
BRAKE 06 TEMP RO,F4F0615B06
ZONE 9 IDENTITY NUMB,ZONE9ID
BRAKE 09 TEMP RO,F4F0715B09
ZONE 10 IDENTITY NUM,ZONE10ID
BRAKE 10 TEMP RO,F4F0815B10
ZONE 11 IDENTITY NUM,ZONE11ID
BRAKE 03 TEMP RO,F500315B03
ZONE 12 IDENTITY NUM,ZONE12ID
BRAKE 04 TEMP RO,F500415B04
BRAKE 07 TEMP RO,F500515B07
BRAKE 08 TEMP RO,F500615B08
BRAKE 11 TEMP RO,F500715B11
BRAKE 12 TEMP RO,F500815B12
R JET NOZL VLV OPEN,RJETNOZOP
L JET NOZL VLV-OPEN,LJETNOZOP
FMF_UNABLE_RNP_ADV,FMUNRNPADV
FMF_UNABLE_RNP_CAUTI,FMUNRNPCAU
SELECTION STATUS BIT,FCD1320
BB VIB CHANNEL A (L),AVMBBVIBAL
SELECTION STATUS BIT,FCD520
BB VIB CHANNEL A (R),AVMBBVIBAR
SELECTION STATUS BIT,FD31020
BB VIB CHANNEL B (L),AVMBBVIBBL
SELECTION STATUS BIT,FD4320
BB VIB CHANNEL B (R),AVMBBVIBBR
C HYD ELEC PUMP 2 T,HYSC2ELTM
C HYD AIR PUMP 2 T,HYSC2ARTM
C HYD ELEC PUMP 1 T,HYSC1ELTM
C HYD AIR PUMP 1 T,HYSC1ARTM
C HYD SYS PRESS HC1,HYSCSYPR
CAP COL 2 POSN,CCOL2POS
CAP COL 3 POSN,CCOL3POS
CAP WHL 2 POSN,CWHL2POS
CAP WHL 3 POSN,CWHL3POS
EGT Signal 2,T491LLOC_2
EGT Signal 1,T49IULOC_1
EGT Signal 3,T49OLLOC_3
EGT Signal 4,T49OULOC_4
FLPRN POSN L,FLRNLPOSNL
FLPRN POSN R,FLRNRPOSNR
RUD POSN,RUDPOSN
STAB POSN,STABPOSN
ZONE 5 TEMP,TZZ5
ZONE 7 TEMP,TZZ7
RALT LEFT LSH,RH
FMF DME L CHAN1 SRNG,NVDME1DIST
FMF DME L CHAN2 SRNG,NVDME2DIST
FMF DME L CHAN3 SRNG,NVDME3DI_L
FMF DME L CHAN4 SRNG,NVDME4DIST
CORR ANGLE OF ATTACK,AOACORR
FMF DME L CHAN5 SRNG,NVDME5DIST_L
FMF DME R CHAN1 SRNG,NVDME1DIST
FMF DME R CHAN2 SRNG,NVDME2DIST
FMF DME R CHAN3 SRNG,NVDME3DI_R
FMF DME R CHAN4 SRNG,NVDME4DIST
FMF DME R CHAN5 SRNG,NVDME5DIST_R
GUST SUPP DEL-P UPR,GSFDPUPR
ZONE 9 TEMP,TZZ9
ZONE 10 TEMP,TZZ10
ZONE 11 TEMP,TZZ11
ZONE 12 TEMP,TZZ12
RALT CTR LSH,RH
FMF_VNAV,FMVERTMD
N2 SELECTION STATUS,FC7453
N1 SELECTION STATUS,FC7420
TRIM AIR R,TRIMAIRR
TRIM AIR L,TRIMAIRL
DRIFT ANGLE,DRIFTANGLE
BSV POSITION SELECTE,BSVPSEL
TCMA STAT (1ST PART),FCC11S_182
TCMA STAT (1ST PART),FCC11S_183
ALT HLD MODE REQ,ALTHLDREQ
ALTITUDE KNOB 1000 R,ALTKNOB1K
A/P CAPT BUTTON ENGA,APENGCPREQ
A/P FO BUTTON ENGAGE,APENGFOREQ
APPR MODE REQ,APPREQ
A/T ARM LEFT,ATARMLEFT
A/T ARM RIGHT,ATARMRIGHT
AT MODE REQ,ATREQ
B/CRS MODE REQ,BKCRSREQ
SPD DISPLAY BLANK,BLNKSPDDIS
CLB CON REQ,CLBCONREQ
FL CH MODE REQ,FLCHREQ
V/S OR FPA DISPLAY,FPADISP
HDG/TRK HOLD MODE RE,HDTKHLDREQ
HDG/TRK SEL MODE REQ,HDTKSELREQ
HEADING/TRACK TOGGLE,HDTKTOGREQ
IAS/MACH TOGGLE REQ,IASMACHTOG
SPEED KNOB PUSH,SPDKNBPUSH
HEADING OR TRACK DIS,TRKDISP
VNAV DIRECT,VNAVDIR
VNAV MODE REQ,VNAVREQ
LNAV MODE REQ,LNAVREQ
VS/FPA MODE REQ,VSFPAREQ
V/S FPA TOGGLE REQ,VSFPATGREQ
AUTOBRAKE 1 MEMO,E7E0310A1M
AUTOBRAKE 2 MEMO,E7E0309A2M
AUTOBRAKE 3 MEMO,E7E0308A3M
AUTOBRAKE 4 MEMO,E7E0307A4M
AUTOBRAKE MAX MEMO,E7E0306AMM
AUTOBRAKE RTO MEMO,E7E0305ARM
MASTER WARNING LIGHT,MWLACT
ALTITUDE ALERT,ALTALERT
FORWARD CARGO FIRE,FWDCRGFIR
AFT CARGO FIRE,AFTCARFIR
APU FIRE ALARM,APFRALM28
RSD SMOKE ALARM,RSDALRMF87
LAVATORY SMOKE,LAVATORYSM
CREW REST SMOKE,CREWRESTSM
CARGO FIRE DISCHARGE,FIREDIS
NLG NOT COMPRESSED,NLGNCOM
CSD SMOKE ALARM,CSDALRMF87
PFD_AIRSPEED_LOW_CAP,PFDASLWC
PFD_AFDC_SPD_ENGAGE_,PFDASPDENG
HEADING SELECTED,HDGSELECT
MACH SELECTED,MACHSELECT
FLT DIRECTOR - PITCH,FDPTC
FLT DIRECTOR - ROLL,FDROLL
FAIL TO GROUND,FTGDISCRT
TCMA STAT (2ND PART),FCC12S_198
HP BLEED PORT PRESS,HPBPPSEL
IAS SELECTED,IASSELECT
FLIGHT PATH ACCEL,FLTPTHACCL
FLIGHT PATH ANGLE,FLTPATHANG
LEFT REVERSER POSITI,LREVPOS
RIGHT REVERSER POSIT,RREVPOS
FMV DEMAND (LEFT),FMVDEM_L
FMV DEMAND (RIGHT),FMVDEM_R
FUEL FLOW (WF) (LEFT),WF_L
FUEL FLOW (WF) (RIGH),WF_R
FMF_DECISION_SPD,FMDECSPD
HP BLEED PORT PRESS,HPBPPLOC
COMPUTED THRUST,FNTAC
IDG INLET OIL TEMPER,IDGIOTSEL
IDG OUTLET OIL TEMPE,IDGOOTSEL
FUEL MANIFOLD PRESS,FCE11
IDG/AP CUR PH A (L),F6FLODPHA
IDG/AP CUR PH B (L),F6FLODPHB
IDG/AP CUR PH C (L),F6FLODPHC
IDG/AP GEN FREQ (L),F71IDGFREQ
IDG/AP GEN % LOAD L,IDGAPLDPU
IDG/AP VOLT 3PH AV l,F71IDGVOLT
INDICATED AOA (R),INDAOAR
L HYD SYS PRESS HL,HYSLSYPR
L PACK MASS FLOW,MASSFLOWL
L PACK VOLTIC FLOW,LVOLFLOW
CONVERTER LOAD,CONVLOAD
OUTPUT TEMP UNIT,TEMPUNITL
SEAT QUANTITY FOR FR,SEATR
TMF_ASM_TEMP_DEGC,TMASMTEMPC
CABIN MASTER SELECT,TMASTER
L TRU CURRENT,LTRUI
L TRU VOLTAGE,LTRUV
TURBINE INLET TEMPER,T4TRIM
TURBINE INLET TEMPER,TIT
VERT SPEED SELECTD,VSSELECT
FMF_CLIMBOUT_SPD,FMCLBOTSPD
B/A LIMIT,BALIMSTAT
ALTITUDE SELECTED,ALTSELECTD
R PACK FLOW SCHEDULE,RFLWSCHED
MAIN BAT CURRENT,MAINBATI
ISOLATED FAULT MAINT,EECGE11_238
LIMITED TRIMMER SYST,FCC6
MAIN BAT VOLTAGE,MAINBATV
MAIN ENGIN OIL PRESS,MEOILP_239
MAIN ENGIN OIL TEMPE,MEOILT
N1 CMD (LEFT),N1CMD_L
N1 CMD (RIGHT),N1CMD_R
AFDC CENTER STATUS,AFDCCSTAT
AFDC LEFT STATUS,AFDCLSTAT
NO AUTOLAND STATUS,NOALSTAT
MODE CONTROL PANEL,MCPSTAT
APU LIMIT - CAUTION,APULIMIT
NO AUTOLAND ADISORY,NOALADV
AP MANUAL DISCONNECT,APMANDIS
NO AUTOLAND CAUTION,NOALCAUT
AUTOPILOT CAUTION,APCAUT
F/D ON - FO FPV,FDFOFPV
F/D ON - CAPT FPV,FDCAPTFPV
A/P ON PFD,APPFD
LOW FLOW,LOWFLOW
BCRS MODE ARM,BCRSARM
TRACK SEL MODE OPER,TRKSELOPER
FLIGHT PATH ANGLE,FPAOPER
STALL PROT ACTIVE,STALPRTACT
OVERSPD PROT ACTIVE,OVSPPRTACT
VOTED G/A SWITCH,VGASW
THROTTLE HOLD,THROTHLD
THROTTLE RETARD,THRTRET
AUTOP BKDRV R,APBDSTATR
AUTOP BKDRV L,APBDSTATL
AFDC RIGHT STATUS,AFDCRSTAT
N1 TRA (LEFT),N1TRA_L
N1 TRA (RIGHT),N1TRA_R
SELECTION STATUS BIT,FD4620
N1 TRKD VIB CHAN A L,N1TRKCHNA_L
SELECTION STATUS BIT,FD6220
N1 TRKD VIB CHAN B L,N1TRKCHNB_L
SELECTION STATUS BIT,FDA520
N1 TRKD VIB CHAN A R,N1TRKCHNA_R
SELECTION STATUS BIT,FDA820
N1 TRKD VIB CHAN B R,N1TRKCHNB_R
ISOLATED FAULT MAINT,EECGE11_250
N2 TRKD VIB CHAN A L,N2TRKCHNA_L
ISOLATED FAULT MAINT,EECGE11_251
N2 TRKD VIB CHAN B L,N2TRKCHNB_L
LOCAL ICE DETECTED C,CSTAT111
CTAI OVERHEAD SWITCH,CSTAT204
N2 TRKD VIB CHAN A R,N2TRKCHNA_R
LOCAL ICE DETECTED W,CSTAT110
LEFT ICE DETECTOR FA,WSTAT113
TAT #1 USE STATUS,TAT1USEST
RIGHT ICE DETECTOR F,WSTAT112
TAT #2 USE STATUS,TAT2USEST
N2 TRKD VIB CHAN B R,N2TRKCHNB_R
FMF_TIME_FOR_DESCENT,FMFDSCTIME
CARGO TEMPERATURE,ACTEMP
FMF_ETA_TOP_OF_DESC,FMFETATOD
THRUST RATING CODE (,FNRATING
FMF_TRUE_HDG,FMFTRUEHDG
FMF_TRUE_TRACK,FMFTRUETRK
PED 1 POS,PED1POS
TCM SHUTDOWN CMD,EECSTAT
TCMA Threshold,TCMALIM
FMF DME R CHAN4 FRQ,NVDMEFQ4
FMF DME R CHAN5 FRQ,NVDMEFQ5
TIME UNTIL JETTISON,TJETCOMP
REG NMBR CHAR 6,REGNBIV_260
PED 2 POS,PED2POS
PED 3 POS,PED3POS
PED 4 POS,PED4POS
PITCH ATTITUDE RATE,PTCHATTRAT
FMF DME L CHAN1 FRQ,NVDMEFQ1
FMF DME L CHAN2 FRQ,NVDMEFQ2
FMF DME L CHAN3 FRQ,NVDMEFQ3
FMF DME L CHAN4 FRQ,NVDMEFQ4
ATTENDED MODE,ATTENDED
FMF DME L CHAN5 FRQ,NVDMEFQ5
FMF DME R CHAN1 FRQ,NVDMEFQ1
FMF DME R CHAN2 FRQ,NVDMEFQ2
FMF DME R CHAN3 FRQ,NVDMEFQ3
ENG FLAME OUT - CAUT,ENGFLAMEOC
R HYD SYS PRESS HR,HYSRSRPR
R PACK MASS FLOW,MASSFLOWR
R PACK VOLTIC FLOW,RVOLFLOW
R TRU CURRENT,RTRUI
TAT SELECTION STATUS,FC741410
R TRU VOLTAGE,RTRUV
RADIO HEIGHT BNR C,RH
FUEL FILTER PRESS SE,FFPSEL
LEFT MAIN TANK VOLUM,LMTNKVOL
CENTER TANK VOLUME,CTRTNKVOL
RIGHT MAIN TANK VOLU,RMTNKVOL
FMF_ACT_TGT_ALT,FMFTGTALT
SELECTED FMV POSITIO,SELFMV
FMF_MACH_TGT,FMFMACHTGT
SELECTED PAMB (LEFT),SELPAMB_L
SELECTED PAMB (RIGHT),SELPAMB_R
SLATS SNSR L POSN,SLTLPOSN
SLATS SNSR R POSN,SLTRPOSN
SPDBRK LEVER 1 POS,SPBK1POS
SPDBRK LEVER 2 POS,SPBK2POS
SPDBRK LEVER 3 POS,SPBK3POS
SPDBRK LEVER 4 POS,SPBK4POS
SPOILER 1 PCU POS,SPOIL1POS
SPOILER 12 PCU POS,SPOIL12POS
SPOILER 13 PCU POS,SPOIL13POS
SPOILER 5 PCU POS,SPOIL5POS
SPOILER 10 PCU POS,SPOIL10POS
SPOILER 14 PCU POS,SPOIL14POS
SPOILER 2 PCU POS,SPOIL2POS
SPOILER 3 PCU POS,SPOIL3POS
SPOILER 7 PCU POS,SPOIL7POS
SPOILER 9 PCU POS,SPOIL9POS
SPOILER 6 PCU POS,SPOIL6POS
SPOILER 8 PCU POS,SPOIL8POS
FMF_MIN_MNVR_SPD,FMMINMVRSD
PS3SEL,PS3SEL
MINIMUM SPEED,VMIN
MANUEVER MARGIN ABOV,VSSNG
EEC OPERATIONAL STAT,FCC4
TIRE 01 PRESSURE,F460314T01
TIRE 02 PRESSURE,F460414T02
ACIPS CARDTYPE STATU,CSTAT207
TIRE 05 PRESSURE,F460514T05
TIRE 06 PRESSURE,F460614T06
TIRE 09 PRESSURE,F460714T09
TIRE 10 PRESSURE,F460814T10
TIRE 03 PRESSURE,F470314T03
TIRE 04 PRESSURE,F470414T04
TIRE 07 PRESSURE,F470514T07
TIRE 08 PRESSURE,F470614T08
TIRE 11 PRESSURE,F470714T11
TIRE 12 PRESSURE,F470814T12
TOTAL AIR TEMP,TAT
EFIS_BARO_CORR_HG_CA,EFISBACHGC
EFIS_BARO_CORR_HG_FO,EFISBACHGF
TOTAL PRESSURE,TOTALPRESS
ISOLATED FAULT MAINT,EECGE05_308
ISOLATED FAULT MAINT,EECGE09_308
TRU C1 CURRENT,TRUC1I
STARTING/IGNITION SY,FCC8
STARTING / FUEL SYST,FCC9
TRU C1 VOLTAGE,TRUC1V
TRU C2 CURRENT,TRUC2I
TRU C2 VOLTAGE,TRUC2V
TRUE AIR SPEED,TAS
PACK CONTROL CHANNEL,LPKCTRL
L UPPER FCV CLOSED,UPRFCVCLOL
L RSVR QUANTITY HL,HYSLRSVRQY
L RSVR TEMP HL,HYSLRSVRTM
R PACK CHANNEL IN CO,RPKCNTRL
R UPPER FCV CLOSED,UPRFCVCLOR
R RSVR QUANTITY HR,HYSRRSVRQY
R RSVR TEMP HR,HYSRRSVRTM
L HYD ELEC PUMP TEMP,HYSLELTM
L HYD ENG PUMP TEMP,HYSLENTM
R HYD ELEC PUMP TEMP,HYSRELTM
R HYD ENG PUMP TEMP,HYSRENTM
TRUE HEADING,TRUEHEADNG
C RSVR QUANTITY HC2,HYSCRSVRQY
C RSVR TEMP HC2,HYSCRSVRTM
TREND MONITOR 1,TREND1
TREND MONITOR 2,TRMON2
TRUE TRACK ANGLE,TRUTRAKANG
TOTAL FUEL WEIGHT,TOTFW
L MAIN FUEL WEIGHT,LMFW
GPS LONGITUDE (MSH),GLN3
R MAIN FUEL WEIGHT,RMFW
GPS LATITUDE (MSH),GLT3
EEC TEMPERATURE (LEF),EECT_L
EEC TEMPERATURE (RIG),EECT_R
GPS ALT MSL (MSH),GAM3
APU SURGE VALVE POSN,SCVPOS
APU FUEL VALVE POSN,FMVPOS
RAW EGT 1,RAWEGT1
L RAM AIR EXIT POSN,POSRAEL
L RAMIN ACT POSITION,POSRAIL
R RAM EX ACT POSN,POSRAER
R RAM IN ACT POSN,POSRAIR
VERTICAL ACCEL,VERTACCEL
L COMP AVG OUT TEMP,TOUTCPRSRL
L 2ND HEAT XCHG TEMP,TOUTSHXL
R COMP AVG OUT TEMP,TOCPRSRR
R 2ND HEAT XCHG TEMP,TOUTSHXR
GPS GROUND SPEED,GGS3
"HIGHWINS (N1, N2, N3",HIWISELECT
GPS LATITUDE (LSH),GLT3
LEFT LOWER RECIRC FA,LLFANONSSL
L LOWER FCV CLOSED,LWRFCVCLOL
LEFT LOWER RECIRC FA,LLFANONSSR
R LOWER FCV CLOSED,LWRFCVCLOR
GPS LONGITUDE (LSH),GLN3
F/D ZONE TEMP,TZFDCH1
FMF_FLT_PHASE,FMFFLTPHAS
FMF_TIME_FOR_CLIMB,FMFCLBTIME
FMF_SEL_CRUISE_ALT,FMFCRZALT
FMF_CAS_TGT,FMFCASTGT
ZONE 1 CONTROL CHANN,Z1CTRLCH
ZONE 2 CONTROL CHANN,Z2CTRLCH
ZONE 3 CONTROL CHANN,Z3CTRLCH
ZONE 4 CONTROL CHANN,Z4CTRLCH
"WIND DIR, FROM TRUE",WINDIRCTRU
WIND SPEED,WINDSPEED
LEFT THROT RATE CMD,TMFDTLAR1
RIGHT THROT RATE CMD,TMFDTLAR2
ONSIDE TMF IS MASTER,TMMASTER
DMS CUMMULATIVE CHIP,FD012
DMS PER FLIGHT CHIP,FCF12
